CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5756.4521 624.1940 3791.9260
  1    0      0    1 1:1:1:0          yes 5756.4521 624.1940 3501.5659
  2    0      0    2 2:2:2:0          yes 5756.4521 624.1940  624.1940
  3    0      0    3 3:3:3:0          yes 5756.4521 624.1940 3094.1689
  4    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
  5    0      0    5 5:5:5:0          yes 5756.4521 624.1940 5568.9922
  6    0      0    6 6:6:6:0          yes 5756.4521 624.1940 5577.9922
  7    0      0    7 7:7:7:0          yes 5756.4521 624.1940 5579.4751
  8    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5673.0190
  9    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5650.7891
 10    0      0   10 10:10:10:1       yes 5756.4521 624.1940 5657.7319
 11    0      0   11 11:11:11:1       yes 5756.4521 624.1940 5743.2139
 12    0      0   12 12:12:12:1       yes 5756.4521 624.1940  624.1940
 13    0      0   13 13:13:13:1       yes 5756.4521 624.1940 4624.9858
 14    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5640.1572
 15    0      0   15 15:15:15:1       yes 5756.4521 624.1940  624.1940
 16    0      0    0 0:0:0:0          yes 5756.4521 624.1940  624.1940
 17    0      0    1 1:1:1:0          yes 5756.4521 624.1940  624.1940
 18    0      0    2 2:2:2:0          yes 5756.4521 624.1940 5581.2622
 19    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
 20    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
 21    0      0    5 5:5:5:0          yes 5756.4521 624.1940  624.1940
 22    0      0    6 6:6:6:0          yes 5756.4521 624.1940 5567.5049
 23    0      0    7 7:7:7:0          yes 5756.4521 624.1940 5565.1890
 24    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5662.3140
 25    0      0    9 9:9:9:1          yes 5756.4521 624.1940  624.1940
 26    0      0   10 10:10:10:1       yes 5756.4521 624.1940  624.1940
 27    0      0   11 11:11:11:1       yes 5756.4521 624.1940  624.1940
 28    0      0   12 12:12:12:1       yes 5756.4521 624.1940  624.1940
 29    0      0   13 13:13:13:1       yes 5756.4521 624.1940 4504.7998
 30    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5636.3589
 31    0      0   15 15:15:15:1       yes 5756.4521 624.1940  624.1940
