run,scenario,input_mib,round,seconds,mib_per_s
1785536021,chunked1/source,1,0,0.00137623,726.731
1785536021,lexer_all/ascii,1,0,0.00137032,729.793
1785536021,chunked1/ascii,1,0,0.00130838,764.342
1785536021,chunked8/ascii,1,0,0.000219519,4555.65
1785536021,chunked8/source,1,0,0.000227089,4404.22
1785536021,chunked4/source,1,0,0.000369718,2705.17
1785536021,chunked2/source,1,0,0.000708207,1412.23
1785536021,chunked2/ascii,1,0,0.000674556,1482.53
1785536021,chunked4/ascii,1,0,0.000348789,2867.21
1785536021,lexer_all/source,1,0,0.00143474,697.094
1785536021,chunked2/source,1,1,0.000704197,1420.27
1785536021,chunked1/source,1,1,0.00138253,723.419
1785536021,chunked1/ascii,1,1,0.00130536,766.11
1785536021,lexer_all/source,1,1,0.00143221,698.325
1785536021,lexer_all/ascii,1,1,0.00137512,727.245
1785536021,chunked8/source,1,1,0.000217699,4594.19
1785536021,chunked2/ascii,1,1,0.000678467,1473.99
1785536021,chunked8/ascii,1,1,0.000229249,4362.29
1785536021,chunked4/source,1,1,0.000381448,2621.98
1785536021,chunked4/ascii,1,1,0.000364058,2746.96
1785536021,lexer_all/ascii,1,2,0.00134567,743.161
1785536021,lexer_all/source,1,2,0.00141487,706.884
1785536021,chunked1/ascii,1,2,0.00129561,771.875
1785536021,chunked4/ascii,1,2,0.000349168,2864.1
1785536021,chunked1/source,1,2,0.00139796,715.434
1785536021,chunked8/ascii,1,2,0.000217119,4606.01
1785536021,chunked4/source,1,2,0.000368008,2717.74
1785536021,chunked8/source,1,2,0.000223149,4481.99
1785536021,chunked2/ascii,1,2,0.000677107,1476.95
1785536021,chunked2/source,1,2,0.000704956,1418.74
1785536021,chunked4/ascii,1,3,0.000349948,2857.71
1785536021,lexer_all/ascii,1,3,0.00137827,725.583
1785536021,chunked4/source,1,3,0.000366848,2726.34
1785536021,chunked1/ascii,1,3,0.00131846,758.497
1785536021,lexer_all/source,1,3,0.00143204,698.408
1785536021,chunked8/source,1,3,0.000218409,4579.26
1785536021,chunked8/ascii,1,3,0.000213219,4690.26
1785536021,chunked2/source,1,3,0.000705336,1417.98
1785536021,chunked1/source,1,3,0.00137852,725.523
1785536021,chunked2/ascii,1,3,0.000674437,1482.79
1785536021,chunked4/ascii,1,4,0.000347988,2873.81
1785536021,chunked4/source,1,4,0.000368648,2713.02
1785536021,chunked1/source,1,4,0.00137982,724.84
1785536021,chunked2/ascii,1,4,0.000673547,1484.75
1785536021,chunked8/source,1,4,0.000217309,4602.44
1785536021,lexer_all/ascii,1,4,0.00137757,725.952
1785536021,chunked2/source,1,4,0.000708636,1411.37
1785536021,chunked8/ascii,1,4,0.000207479,4820.01
1785536021,chunked1/ascii,1,4,0.00130839,764.335
1785536021,lexer_all/source,1,4,0.00143358,697.658
1785536021,chunked4/ascii,1,5,0.000352068,2840.51
1785536021,chunked4/source,1,5,0.000374858,2668.08
1785536021,chunked2/source,1,5,0.000703176,1422.33
1785536021,lexer_all/source,1,5,0.00141825,705.199
1785536021,chunked2/ascii,1,5,0.000685067,1459.79
1785536021,chunked1/ascii,1,5,0.00130604,765.711
1785536021,lexer_all/ascii,1,5,0.00139668,716.019
1785536021,chunked8/source,1,5,0.000220129,4543.48
1785536021,chunked8/ascii,1,5,0.000219089,4564.59
1785536021,chunked1/source,1,5,0.001388,720.568
1785536021,chunked8/ascii,1,6,0.000208179,4803.81
1785536021,lexer_all/ascii,1,6,0.00138805,720.471
1785536021,chunked2/source,1,6,0.000704297,1420.07
1785536021,chunked1/source,1,6,0.0013806,724.43
1785536021,chunked2/ascii,1,6,0.000674347,1482.99
1785536021,chunked4/source,1,6,0.000367158,2724.03
1785536021,chunked1/ascii,1,6,0.00130922,763.851
1785536021,lexer_all/source,1,6,0.00143429,697.313
1785536021,chunked8/source,1,6,0.000216439,4620.94
1785536021,chunked4/ascii,1,6,0.000349638,2860.25
1785536021,chunked1/source,1,7,0.00137833,725.623
1785536021,chunked8/source,1,7,0.000216009,4630.13
1785536021,lexer_all/source,1,7,0.00142161,703.532
1785536021,chunked4/source,1,7,0.000364668,2742.63
1785536021,chunked8/ascii,1,7,0.000212969,4695.76
1785536021,chunked2/source,1,7,0.000703677,1421.32
1785536021,chunked2/ascii,1,7,0.000669966,1492.69
1785536021,chunked4/ascii,1,7,0.000352779,2834.78
1785536021,chunked1/ascii,1,7,0.00131668,759.523
1785536021,lexer_all/ascii,1,7,0.0013968,715.957
1785536021,lexer_all/source,1,8,0.00143127,698.784
1785536021,chunked1/source,1,8,0.0013943,717.312
1785536021,chunked8/source,1,8,0.000218989,4567.13
1785536021,chunked4/source,1,8,0.000365458,2736.7
1785536021,chunked4/ascii,1,8,0.000350848,2850.38
1785536021,chunked8/ascii,1,8,0.000204949,4879.51
1785536021,chunked2/source,1,8,0.000705157,1418.34
1785536021,chunked2/ascii,1,8,0.000673976,1483.81
1785536021,lexer_all/ascii,1,8,0.00138835,720.315
1785536021,chunked1/ascii,1,8,0.00130944,763.722
1785536021,chunked8/ascii,1,9,0.000212829,4698.85
1785536021,chunked2/ascii,1,9,0.000680586,1469.4
1785536021,lexer_all/ascii,1,9,0.00139135,718.762
1785536021,chunked4/source,1,9,0.000368618,2713.24
1785536021,chunked1/source,1,9,0.00138531,721.967
1785536021,chunked4/ascii,1,9,0.000364948,2740.26
1785536021,chunked2/source,1,9,0.000702976,1422.74
1785536021,lexer_all/source,1,9,0.00142178,703.448
1785536021,chunked1/ascii,1,9,0.00131495,760.522
1785536021,chunked8/source,1,9,0.000217508,4598.22
1785536021,chunked4/ascii,1,10,0.000351269,2846.97
1785536021,lexer_all/source,1,10,0.00143063,699.097
1785536021,chunked4/source,1,10,0.000363109,2754.41
1785536021,chunked1/ascii,1,10,0.0013088,764.096
1785536021,lexer_all/ascii,1,10,0.00139229,718.277
1785536021,chunked8/ascii,1,10,0.000213869,4676
1785536021,chunked2/ascii,1,10,0.000683077,1464.04
1785536021,chunked2/source,1,10,0.000709486,1409.68
1785536021,chunked1/source,1,10,0.00138811,720.511
1785536021,chunked8/source,1,10,0.000211159,4736.48
1785536021,chunked1/source,1,11,0.00138584,721.691
1785536021,chunked4/ascii,1,11,0.000365558,2735.68
1785536021,chunked4/source,1,11,0.000363169,2753.95
1785536021,lexer_all/source,1,11,0.00142369,702.505
1785536021,chunked1/ascii,1,11,0.0013029,767.556
1785536021,chunked8/ascii,1,11,0.000213049,4694
1785536021,lexer_all/ascii,1,11,0.0014093,709.607
1785536021,chunked2/ascii,1,11,0.000677706,1475.64
1785536021,chunked2/source,1,11,0.000710427,1407.82
1785536021,chunked8/source,1,11,0.000217019,4608.59
1785536021,chunked2/ascii,1,12,0.000680066,1470.52
1785536021,chunked1/ascii,1,12,0.00131256,761.907
1785536021,chunked8/ascii,1,12,0.000208739,4790.92
1785536021,chunked4/ascii,1,12,0.000351968,2841.31
1785536021,chunked4/source,1,12,0.000363968,2747.91
1785536021,lexer_all/source,1,12,0.00143027,699.273
1785536021,chunked1/source,1,12,0.00138644,721.379
1785536021,chunked2/source,1,12,0.000703626,1421.42
1785536021,lexer_all/ascii,1,12,0.00138738,720.818
1785536021,chunked8/source,1,12,0.000216889,4611.35
1785536021,chunked1/source,1,13,0.00138691,721.134
1785536021,chunked2/ascii,1,13,0.000671856,1488.49
1785536021,chunked4/source,1,13,0.000373498,2677.79
1785536021,lexer_all/source,1,13,0.00142318,702.756
1785536021,chunked8/ascii,1,13,0.000208999,4784.96
1785536021,chunked4/ascii,1,13,0.000350708,2851.52
1785536021,lexer_all/ascii,1,13,0.00139268,718.075
1785536021,chunked2/source,1,13,0.000705147,1418.36
1785536021,chunked1/ascii,1,13,0.00130893,764.02
1785536021,chunked8/source,1,13,0.000218139,4584.92
1785536021,chunked2/ascii,1,14,0.000679127,1472.55
1785536021,chunked1/ascii,1,14,0.00131321,761.53
1785536021,chunked4/source,1,14,0.000369129,2709.49
1785536021,lexer_all/ascii,1,14,0.00140752,710.505
1785536021,chunked8/source,1,14,0.000215749,4635.71
1785536021,chunked4/ascii,1,14,0.000352489,2837.11
1785536021,lexer_all/source,1,14,0.00143203,698.414
1785536021,chunked1/source,1,14,0.00138244,723.466
1785536021,chunked8/ascii,1,14,0.000209819,4766.26
1785536021,chunked2/source,1,14,0.000704386,1419.89
1785536021,chunked1/source,16,0,0.0221137,723.534
1785536021,lexer_all/ascii,16,0,0.023631,677.08
1785536021,chunked1/ascii,16,0,0.0208986,765.605
1785536021,chunked8/ascii,16,0,0.00553239,2892.06
1785536021,chunked8/source,16,0,0.00316746,5051.37
1785536021,chunked4/source,16,0,0.0057301,2792.28
1785536021,chunked2/source,16,0,0.0111963,1429.05
1785536021,chunked2/ascii,16,0,0.0110912,1442.59
1785536021,chunked4/ascii,16,0,0.00560827,2852.94
1785536021,lexer_all/source,16,0,0.0227232,704.129
1785536021,chunked2/source,16,1,0.0112238,1425.54
1785536021,chunked1/source,16,1,0.0221145,723.508
1785536021,chunked1/ascii,16,1,0.0213641,748.923
1785536021,lexer_all/source,16,1,0.0229257,697.909
1785536021,lexer_all/ascii,16,1,0.0237205,674.524
1785536021,chunked8/source,16,1,0.00321909,4970.36
1785536021,chunked2/ascii,16,1,0.0109878,1456.17
1785536021,chunked8/ascii,16,1,0.00286588,5582.95
