CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5756.4521 624.1940 5565.6460
  1    0      0    1 1:1:1:0          yes 5756.4521 624.1940 5565.0581
  2    0      0    2 2:2:2:0          yes 5756.4521 624.1940  624.1940
  3    0      0    3 3:3:3:0          yes 5756.4521 624.1940 5565.7271
  4    0      0    4 4:4:4:0          yes 5756.4521 624.1940 5551.8862
  5    0      0    5 5:5:5:0          yes 5756.4521 624.1940 3446.0171
  6    0      0    6 6:6:6:0          yes 5756.4521 624.1940 5516.1421
  7    0      0    7 7:7:7:0          yes 5756.4521 624.1940 5561.3799
  8    0      0    8 8:8:8:1          yes 5756.4521 624.1940 4900.0688
  9    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5692.3379
 10    0      0   10 10:10:10:1       yes 5756.4521 624.1940 5720.0488
 11    0      0   11 11:11:11:1       yes 5756.4521 624.1940 5710.7349
 12    0      0   12 12:12:12:1       yes 5756.4521 624.1940 5719.9858
 13    0      0   13 13:13:13:1       yes 5756.4521 624.1940  624.1940
 14    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5726.2051
 15    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5691.2852
 16    0      0    0 0:0:0:0          yes 5756.4521 624.1940 5569.1099
 17    0      0    1 1:1:1:0          yes 5756.4521 624.1940 5576.9229
 18    0      0    2 2:2:2:0          yes 5756.4521 624.1940 5564.1548
 19    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
 20    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
 21    0      0    5 5:5:5:0          yes 5756.4521 624.1940  624.1940
 22    0      0    6 6:6:6:0          yes 5756.4521 624.1940  624.1940
 23    0      0    7 7:7:7:0          yes 5756.4521 624.1940  624.1940
 24    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5721.4102
 25    0      0    9 9:9:9:1          yes 5756.4521 624.1940  624.1940
 26    0      0   10 10:10:10:1       yes 5756.4521 624.1940 5705.6030
 27    0      0   11 11:11:11:1       yes 5756.4521 624.1940 5709.9312
 28    0      0   12 12:12:12:1       yes 5756.4521 624.1940 5680.9282
 29    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5681.3398
 30    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5713.9292
 31    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5448.5752
