CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5756.4521 624.1940 3636.5581
  1    0      0    1 1:1:1:0          yes 5756.4521 624.1940 3517.4150
  2    0      0    2 2:2:2:0          yes 5756.4521 624.1940  624.1940
  3    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
  4    0      0    4 4:4:4:0          yes 5756.4521 624.1940 5573.1821
  5    0      0    5 5:5:5:0          yes 5756.4521 624.1940 5572.2598
  6    0      0    6 6:6:6:0          yes 5756.4521 624.1940 5573.4771
  7    0      0    7 7:7:7:0          yes 5756.4521 624.1940 5565.3760
  8    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5728.7622
  9    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5731.7861
 10    0      0   10 10:10:10:1       yes 5756.4521 624.1940  624.1940
 11    0      0   11 11:11:11:1       yes 5756.4521 624.1940  624.1940
 12    0      0   12 12:12:12:1       yes 5756.4521 624.1940 5732.0518
 13    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5736.2910
 14    0      0   14 14:14:14:1       yes 5756.4521 624.1940 3274.0200
 15    0      0   15 15:15:15:1       yes 5756.4521 624.1940  624.1940
 16    0      0    0 0:0:0:0          yes 5756.4521 624.1940 5577.2798
 17    0      0    1 1:1:1:0          yes 5756.4521 624.1940 5528.3711
 18    0      0    2 2:2:2:0          yes 5756.4521 624.1940 5530.9692
 19    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
 20    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
 21    0      0    5 5:5:5:0          yes 5756.4521 624.1940  624.1940
 22    0      0    6 6:6:6:0          yes 5756.4521 624.1940  624.1940
 23    0      0    7 7:7:7:0          yes 5756.4521 624.1940  624.1940
 24    0      0    8 8:8:8:1          yes 5756.4521 624.1940  624.1940
 25    0      0    9 9:9:9:1          yes 5756.4521 624.1940  624.1940
 26    0      0   10 10:10:10:1       yes 5756.4521 624.1940  624.1940
 27    0      0   11 11:11:11:1       yes 5756.4521 624.1940 5731.2051
 28    0      0   12 12:12:12:1       yes 5756.4521 624.1940 3635.5920
 29    0      0   13 13:13:13:1       yes 5756.4521 624.1940 4783.4331
 30    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5749.9790
 31    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5677.8589
