grammar,op,k,trial,p,e,strategy,answer,landed,overshoot,lost,cascade
c-like conventional with strings and line comments,substitute,1,0,34415,34415,certified,34427,1,11,2,1
c-like conventional with strings and line comments,substitute,1,0,34415,34415,skip-one,34416,1,0,0,1
c-like conventional with strings and line comments,substitute,1,0,34415,34415,newline,34428,1,12,3,1
c-like conventional with strings and line comments,substitute,1,0,34415,34415,semicolon,34485,1,69,21,1
c-like conventional with strings and line comments,substitute,1,1,176677,176677,certified,176711,1,32,10,1
c-like conventional with strings and line comments,substitute,1,1,176677,176677,skip-one,176678,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,1,176677,176677,newline,176712,1,33,11,1
c-like conventional with strings and line comments,substitute,1,1,176677,176677,semicolon,176953,1,274,87,1
c-like conventional with strings and line comments,substitute,1,2,139271,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,3,135351,135351,certified,135373,1,18,5,1
c-like conventional with strings and line comments,substitute,1,3,135351,135351,skip-one,135352,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,3,135351,135351,newline,135374,1,19,6,1
c-like conventional with strings and line comments,substitute,1,3,135351,135351,semicolon,135364,1,9,3,1
c-like conventional with strings and line comments,substitute,1,4,193130,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,5,136892,136892,certified,136899,1,0,0,1
c-like conventional with strings and line comments,substitute,1,5,136892,136892,skip-one,136893,0,-6,0,1
c-like conventional with strings and line comments,substitute,1,5,136892,136892,newline,136900,1,1,1,1
c-like conventional with strings and line comments,substitute,1,5,136892,136892,semicolon,137037,1,138,37,1
c-like conventional with strings and line comments,substitute,1,6,133813,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,7,92918,92918,certified,92952,1,31,13,1
c-like conventional with strings and line comments,substitute,1,7,92918,92918,skip-one,92919,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,7,92918,92918,newline,92952,1,31,13,1
c-like conventional with strings and line comments,substitute,1,7,92918,92918,semicolon,92972,1,51,19,1
c-like conventional with strings and line comments,substitute,1,8,67255,67255,certified,67311,1,53,15,1
c-like conventional with strings and line comments,substitute,1,8,67255,67255,skip-one,67256,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,8,67255,67255,newline,67312,1,54,16,1
c-like conventional with strings and line comments,substitute,1,8,67255,67255,semicolon,67288,1,30,9,1
c-like conventional with strings and line comments,substitute,1,9,58178,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,10,159880,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,11,94622,94622,certified,94637,1,11,4,1
c-like conventional with strings and line comments,substitute,1,11,94622,94622,skip-one,94623,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,11,94622,94622,newline,94637,1,11,4,1
c-like conventional with strings and line comments,substitute,1,11,94622,94622,semicolon,94721,1,95,26,1
c-like conventional with strings and line comments,substitute,1,12,62177,62177,certified,62198,1,19,7,1
c-like conventional with strings and line comments,substitute,1,12,62177,62177,skip-one,62178,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,12,62177,62177,newline,62198,1,19,7,1
c-like conventional with strings and line comments,substitute,1,12,62177,62177,semicolon,62204,1,25,9,1
c-like conventional with strings and line comments,substitute,1,13,258355,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,14,128020,128020,certified,128053,1,32,11,1
c-like conventional with strings and line comments,substitute,1,14,128020,128020,skip-one,128021,1,0,0,1
c-like conventional with strings and line comments,substitute,1,14,128020,128020,newline,128053,1,32,11,1
c-like conventional with strings and line comments,substitute,1,14,128020,128020,semicolon,128082,1,61,23,1
c-like conventional with strings and line comments,substitute,1,15,7386,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,16,49062,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,17,171674,171674,certified,171698,1,23,7,1
c-like conventional with strings and line comments,substitute,1,17,171674,171674,skip-one,171675,1,0,0,1
c-like conventional with strings and line comments,substitute,1,17,171674,171674,newline,171698,1,23,7,1
c-like conventional with strings and line comments,substitute,1,17,171674,171674,semicolon,171729,1,54,17,1
c-like conventional with strings and line comments,substitute,1,18,241558,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,19,15498,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,20,114941,114941,certified,114978,1,36,11,1
c-like conventional with strings and line comments,substitute,1,20,114941,114941,skip-one,114942,1,0,0,1
c-like conventional with strings and line comments,substitute,1,20,114941,114941,newline,114978,1,36,11,1
c-like conventional with strings and line comments,substitute,1,20,114941,114941,semicolon,114984,1,42,13,1
c-like conventional with strings and line comments,substitute,1,21,44427,44427,certified,44482,1,53,12,1
c-like conventional with strings and line comments,substitute,1,21,44427,44427,skip-one,44428,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,21,44427,44427,newline,44482,1,53,12,1
c-like conventional with strings and line comments,substitute,1,21,44427,44427,semicolon,44459,1,30,7,1
c-like conventional with strings and line comments,substitute,1,22,159328,159328,certified,159364,1,31,13,1
c-like conventional with strings and line comments,substitute,1,22,159328,159328,skip-one,159329,0,-4,0,1
c-like conventional with strings and line comments,substitute,1,22,159328,159328,newline,159364,1,31,13,1
c-like conventional with strings and line comments,substitute,1,22,159328,159328,semicolon,159417,1,84,31,1
c-like conventional with strings and line comments,substitute,1,23,251986,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,24,160305,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,25,100267,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,26,220690,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,27,41366,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,28,604,592,certified,607,1,2,1,1
c-like conventional with strings and line comments,substitute,1,28,604,592,skip-one,593,0,-12,0,2
c-like conventional with strings and line comments,substitute,1,28,604,592,newline,607,1,2,1,1
c-like conventional with strings and line comments,substitute,1,28,604,592,semicolon,753,1,148,37,1
c-like conventional with strings and line comments,substitute,1,29,18013,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,30,245222,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,31,91920,91920,certified,91955,1,32,6,1
c-like conventional with strings and line comments,substitute,1,31,91920,91920,skip-one,91921,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,31,91920,91920,newline,91956,1,33,7,1
c-like conventional with strings and line comments,substitute,1,31,91920,91920,semicolon,92199,1,276,69,1
c-like conventional with strings and line comments,substitute,1,32,215877,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,33,167633,167633,certified,167674,1,39,11,1
c-like conventional with strings and line comments,substitute,1,33,167633,167633,skip-one,167634,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,33,167633,167633,newline,167674,1,39,11,1
c-like conventional with strings and line comments,substitute,1,33,167633,167633,semicolon,167835,1,200,61,1
c-like conventional with strings and line comments,substitute,1,34,167823,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,35,166843,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,36,5628,5628,certified,5672,1,43,12,1
c-like conventional with strings and line comments,substitute,1,36,5628,5628,skip-one,5629,1,0,0,1
c-like conventional with strings and line comments,substitute,1,36,5628,5628,newline,5672,1,43,12,1
c-like conventional with strings and line comments,substitute,1,36,5628,5628,semicolon,5860,1,231,68,1
c-like conventional with strings and line comments,substitute,1,37,23583,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,38,171294,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,39,214927,214927,certified,214963,1,33,9,1
c-like conventional with strings and line comments,substitute,1,39,214927,214927,skip-one,214928,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,39,214927,214927,newline,214963,1,33,9,1
c-like conventional with strings and line comments,substitute,1,39,214927,214927,semicolon,215218,1,288,83,1
c-like conventional with strings and line comments,substitute,1,40,230400,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,41,108135,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,42,164512,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,43,31517,31517,certified,31529,1,10,3,1
c-like conventional with strings and line comments,substitute,1,43,31517,31517,skip-one,31518,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,43,31517,31517,newline,31529,1,10,3,1
c-like conventional with strings and line comments,substitute,1,43,31517,31517,semicolon,31655,1,136,45,1
c-like conventional with strings and line comments,substitute,1,44,80904,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,45,222837,222837,certified,222882,1,44,12,1
c-like conventional with strings and line comments,substitute,1,45,222837,222837,skip-one,222838,1,0,0,1
c-like conventional with strings and line comments,substitute,1,45,222837,222837,newline,222882,1,44,12,1
c-like conventional with strings and line comments,substitute,1,45,222837,222837,semicolon,222902,1,64,16,1
c-like conventional with strings and line comments,substitute,1,46,34367,34367,certified,34427,1,59,13,1
c-like conventional with strings and line comments,substitute,1,46,34367,34367,skip-one,34368,1,0,0,1
c-like conventional with strings and line comments,substitute,1,46,34367,34367,newline,34428,1,60,14,1
c-like conventional with strings and line comments,substitute,1,46,34367,34367,semicolon,34485,1,117,32,1
c-like conventional with strings and line comments,substitute,1,47,151201,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,48,142721,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,49,117396,117396,certified,117418,1,17,5,1
c-like conventional with strings and line comments,substitute,1,49,117396,117396,skip-one,117397,0,-4,0,1
c-like conventional with strings and line comments,substitute,1,49,117396,117396,newline,117418,1,17,5,1
c-like conventional with strings and line comments,substitute,1,49,117396,117396,semicolon,117458,1,57,19,1
c-like conventional with strings and line comments,substitute,1,50,138695,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,51,108382,108382,certified,108391,1,8,2,1
c-like conventional with strings and line comments,substitute,1,51,108382,108382,skip-one,108383,1,0,0,1
c-like conventional with strings and line comments,substitute,1,51,108382,108382,newline,108391,1,8,2,1
c-like conventional with strings and line comments,substitute,1,51,108382,108382,semicolon,108417,1,34,10,1
c-like conventional with strings and line comments,substitute,1,52,51372,51372,certified,51393,1,20,8,1
c-like conventional with strings and line comments,substitute,1,52,51372,51372,skip-one,51373,1,0,0,1
c-like conventional with strings and line comments,substitute,1,52,51372,51372,newline,51393,1,20,8,1
c-like conventional with strings and line comments,substitute,1,52,51372,51372,semicolon,51374,1,1,1,1
c-like conventional with strings and line comments,substitute,1,53,194864,194864,certified,194914,1,45,12,1
c-like conventional with strings and line comments,substitute,1,53,194864,194864,skip-one,194865,0,-4,0,1
c-like conventional with strings and line comments,substitute,1,53,194864,194864,newline,194914,1,45,12,1
c-like conventional with strings and line comments,substitute,1,53,194864,194864,semicolon,194912,1,43,11,1
c-like conventional with strings and line comments,substitute,1,54,8939,8939,certified,8958,1,16,4,1
c-like conventional with strings and line comments,substitute,1,54,8939,8939,skip-one,8940,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,54,8939,8939,newline,8959,1,17,5,1
c-like conventional with strings and line comments,substitute,1,54,8939,8939,semicolon,9042,1,100,31,1
c-like conventional with strings and line comments,substitute,1,55,195835,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,56,133997,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,57,107215,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,58,3861,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,59,143312,143312,certified,143321,1,8,1,1
c-like conventional with strings and line comments,substitute,1,59,143312,143312,skip-one,143313,1,0,0,1
c-like conventional with strings and line comments,substitute,1,59,143312,143312,newline,143322,1,9,2,1
c-like conventional with strings and line comments,substitute,1,59,143312,143312,semicolon,143431,1,118,30,1
c-like conventional with strings and line comments,substitute,1,60,239999,239999,certified,240040,1,39,7,1
c-like conventional with strings and line comments,substitute,1,60,239999,239999,skip-one,240000,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,60,239999,239999,newline,240040,1,39,7,1
c-like conventional with strings and line comments,substitute,1,60,239999,239999,semicolon,240161,1,160,37,1
c-like conventional with strings and line comments,substitute,1,61,32114,32114,certified,32155,1,39,12,1
c-like conventional with strings and line comments,substitute,1,61,32114,32114,skip-one,32115,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,61,32114,32114,newline,32155,1,39,12,1
c-like conventional with strings and line comments,substitute,1,61,32114,32114,semicolon,32117,1,1,1,1
c-like conventional with strings and line comments,substitute,1,62,71679,71679,certified,71689,1,9,4,1
c-like conventional with strings and line comments,substitute,1,62,71679,71679,skip-one,71680,1,0,0,1
c-like conventional with strings and line comments,substitute,1,62,71679,71679,newline,71689,1,9,4,1
c-like conventional with strings and line comments,substitute,1,62,71679,71679,semicolon,71695,1,15,6,1
c-like conventional with strings and line comments,substitute,1,63,33221,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,64,256856,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,65,211450,211450,certified,211506,1,54,14,1
c-like conventional with strings and line comments,substitute,1,65,211450,211450,skip-one,211451,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,65,211450,211450,newline,211507,1,55,15,1
c-like conventional with strings and line comments,substitute,1,65,211450,211450,semicolon,211787,1,335,85,1
c-like conventional with strings and line comments,substitute,1,66,228434,228434,certified,228440,1,3,1,1
c-like conventional with strings and line comments,substitute,1,66,228434,228434,skip-one,228435,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,66,228434,228434,newline,228440,1,3,1,1
c-like conventional with strings and line comments,substitute,1,66,228434,228434,semicolon,228453,1,16,5,1
c-like conventional with strings and line comments,substitute,1,67,57949,57949,certified,57973,1,23,8,1
c-like conventional with strings and line comments,substitute,1,67,57949,57949,skip-one,57950,1,0,0,1
c-like conventional with strings and line comments,substitute,1,67,57949,57949,newline,57973,1,23,8,1
c-like conventional with strings and line comments,substitute,1,67,57949,57949,semicolon,58374,1,424,114,1
c-like conventional with strings and line comments,substitute,1,68,257966,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,69,126295,126295,certified,126325,1,29,10,1
c-like conventional with strings and line comments,substitute,1,69,126295,126295,skip-one,126296,1,0,0,1
c-like conventional with strings and line comments,substitute,1,69,126295,126295,newline,126325,1,29,10,1
c-like conventional with strings and line comments,substitute,1,69,126295,126295,semicolon,126309,1,13,5,1
c-like conventional with strings and line comments,substitute,1,70,118584,118584,certified,118625,1,39,14,1
c-like conventional with strings and line comments,substitute,1,70,118584,118584,skip-one,118585,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,70,118584,118584,newline,118625,1,39,14,1
c-like conventional with strings and line comments,substitute,1,70,118584,118584,semicolon,118587,1,1,1,1
c-like conventional with strings and line comments,substitute,1,71,152359,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,72,260514,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,73,235225,235225,certified,235234,1,7,2,1
c-like conventional with strings and line comments,substitute,1,73,235225,235225,skip-one,235226,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,73,235225,235225,newline,235234,1,7,2,1
c-like conventional with strings and line comments,substitute,1,73,235225,235225,semicolon,235301,1,74,20,1
c-like conventional with strings and line comments,substitute,1,74,169340,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,75,198543,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,76,165492,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,77,200808,200808,certified,200832,1,23,8,1
c-like conventional with strings and line comments,substitute,1,77,200808,200808,skip-one,200809,1,0,0,1
