run,commit,dirty,scenario,input_mib,round,seconds,mib_per_s
1786032755,bed90d6,no,chunked1/source,1,0,0.0017255969999999999,579.59690503749846
1786032755,bed90d6,no,lexer_all/ascii,1,0,0.0017839729999999999,560.57546746115884
1786032755,bed90d6,no,chunked1/ascii,1,0,0.0018181919999999999,550.02524398583091
1786032755,bed90d6,no,chunked8/ascii,1,0,0.00058884300000000003,1698.3329994804828
1786032755,bed90d6,no,chunked8/source,1,0,0.00091676599999999996,1090.9552498041946
1786032755,bed90d6,no,chunked4/source,1,0,0.00053308900000000005,1876.1420335853716
1786032755,bed90d6,no,chunked2/source,1,0,0.0010991729999999999,909.91197977205798
1786032755,bed90d6,no,chunked2/ascii,1,0,0.00095613899999999995,1045.9268980902211
1786032755,bed90d6,no,chunked4/ascii,1,0,0.00052949900000000001,1888.674952007626
1786032755,bed90d6,no,lexer_all/source,1,0,0.001790708,558.52248414704809
1786032755,bed90d6,no,chunked2/source,1,1,0.00093731299999999995,1067.0402315363087
1786032755,bed90d6,no,chunked1/source,1,1,0.0017427040000000001,573.90737643454781
1786032755,bed90d6,no,chunked1/ascii,1,1,0.0017643890000000001,566.79762706131464
1786032755,bed90d6,no,lexer_all/source,1,1,0.0017586780000000001,568.69459931948438
1786032755,bed90d6,no,lexer_all/ascii,1,1,0.0017364590000000001,575.91425908304541
1786032755,bed90d6,no,chunked8/source,1,1,0.00051908100000000001,1926.7718921362796
1786032755,bed90d6,no,chunked2/ascii,1,1,0.00093738100000000004,1066.8570180247796
1786032755,bed90d6,no,chunked8/ascii,1,1,0.00051687200000000003,1934.8146125406017
1786032755,bed90d6,no,chunked4/source,1,1,0.00061334599999999997,1630.6467810045101
1786032755,bed90d6,no,chunked4/ascii,1,1,0.00063644299999999999,1571.3135322614687
1786032755,bed90d6,no,lexer_all/ascii,1,2,0.001813671,551.39631080448771
1786032755,bed90d6,no,lexer_all/source,1,2,0.0017837479999999999,560.70178104866397
1786032755,bed90d6,no,chunked1/ascii,1,2,0.0019674100000000002,508.30863847041837
1786032755,bed90d6,no,chunked4/ascii,1,2,0.000668752,1495.399637553362
1786032755,bed90d6,no,chunked1/source,1,2,0.001778382,562.39361427521885
1786032755,bed90d6,no,chunked8/ascii,1,2,0.001488367,671.91189969482389
1786032755,bed90d6,no,chunked4/source,1,2,0.00068090900000000005,1468.8463224043039
1786032755,bed90d6,no,chunked8/source,1,2,0.00052085100000000002,1920.224172636689
1786032755,bed90d6,no,chunked2/ascii,1,2,0.00094702299999999996,1055.9949424808965
1786032755,bed90d6,no,chunked2/source,1,2,0.0010077179999999999,992.49063779945607
1786032755,bed90d6,no,chunked4/ascii,1,3,0.00052323799999999998,1911.2745985824538
1786032755,bed90d6,no,lexer_all/ascii,1,3,0.0017341170000000001,576.69205619521972
1786032755,bed90d6,no,chunked4/source,1,3,0.00058790100000000005,1701.2229619306518
1786032755,bed90d6,no,chunked1/ascii,1,3,0.0018203029999999999,549.38738133875847
1786032755,bed90d6,no,lexer_all/source,1,3,0.001749757,571.59404451131911
1786032755,bed90d6,no,chunked8/source,1,3,0.00053243099999999999,1878.4606466227403
1786032755,bed90d6,no,chunked8/ascii,1,3,0.000462616,2161.731324496096
1786032755,bed90d6,no,chunked2/source,1,3,0.000952961,1049.5190050190849
1786032755,bed90d6,no,chunked1/source,1,3,0.001764093,566.94895367874153
1786032755,bed90d6,no,chunked2/ascii,1,3,0.0010158809999999999,984.41795684050203
1786032755,bed90d6,no,chunked4/ascii,1,4,0.00059790600000000005,1672.5898358823727
1786032755,bed90d6,no,chunked4/source,1,4,0.00055393800000000002,1805.5282008852835
1786032755,bed90d6,no,chunked1/source,1,4,0.0017996150000000001,555.75813745828532
1786032755,bed90d6,no,chunked2/ascii,1,4,0.00092010499999999995,1086.8884512235952
1786032755,bed90d6,no,chunked8/source,1,4,0.00056931799999999997,1756.7522554038205
1786032755,bed90d6,no,lexer_all/ascii,1,4,0.0017750159999999999,563.40421630739445
1786032755,bed90d6,no,chunked2/source,1,4,0.00098156599999999991,1018.9337044498203
1786032755,bed90d6,no,chunked8/ascii,1,4,0.00053060900000000003,1884.7239651289101
1786032755,bed90d6,no,chunked1/ascii,1,4,0.001858763,538.01990808569246
1786032755,bed90d6,no,lexer_all/source,1,4,0.001789964,558.7546344742085
1786032755,bed90d6,no,chunked4/ascii,1,5,0.00054509899999999995,1834.6236159176333
1786032755,bed90d6,no,chunked4/source,1,5,0.00051954499999999995,1925.0511130739249
1786032755,bed90d6,no,chunked2/source,1,5,0.000965879,1035.4823746473339
